Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Fwd Avg Bytes/Bulk,Bwd Avg Bytes/Bulk,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,act_data_pkt_fwd,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,1006,1429,4,100421,202,74,60,64.78,3.88,68,32,49.92,8.89,101905187.3,1326572.87,0.7,0.08,1,1,1006,0.7,0.09,1,1,1006,335.33,55.7,447,280,0,0,28580,80,1343402.777,4042.7171,30.2,79.42,64.91,3.94,16.51,0,1151,1,0,2,1429,1646.19,202.02,2050,1242,169.06,18.3,206,132,DoS
443,1783,928,2,73449,86,85,65,75.19,5.3,52,33,42.54,4.71,38574710.63,555029.6709,1.92,0.31,3,2,1783,1.92,0.37,3,2,1783,1783,235.76,2255,1547,0,0,18560,40,490269.0216,1128.8682,43.55,93.15,74.93,5.45,29.92,0,720,1,0,5,928,1938.27,274.61,2487,1389,146.44,16.96,180,113,DoS
80,3597,554,3,22013,95,50,40,43.71,2.61,36,29,32.32,1.74,5974696.76,159507.8408,6.47,0.69,8,6,3597,6.5,0.95,9,6,3597,1798.5,313.41,2425,1485,0,0,11080,60,143827.8538,764.0616,30.38,51.86,43.42,2.71,7.37,0,453,0,0,2,554,626.25,45.02,716,536,56.43,5.05,67,46,DoS
443,1579,1419,0,87705,0,75,46,55.84,9.03,0,0,0,0,57124725.83,861322.2621,1.11,0.2,2,1,1579,1.11,0.08,1,1,0,0,0,0,0,0,0,28380,0,813727.9047,0,25.56,82.99,55.56,8.73,83.45,0,1089,2,0,1,1419,1586.51,95.76,1778,1395,369.69,51.32,472,267,DoS
8080,2781,1222,1,47038,25,51,38,42.93,2.93,30,23,26.27,1.63,16284652.62,438612.9292,2.28,0.33,3,2,2781,2.28,0.28,3,2,0,0,0,0,0,0,0,24440,20,432631.0631,329.7426,24.71,52.86,43.01,2.87,7.49,0,1027,4,0,2,1222,995.85,73.47,1143,849,49.09,4.15,57,41,DoS
8080,800,771,3,47523,99,91,42,65.83,12.8,40,26,33.01,3.29,56515745.69,942473.8686,1.03,0.17,1,1,800,1.04,0.16,2,1,800,400,59.11,518,341,0,0,15420,60,1016337.262,3434.5536,26.5,111.52,65.99,12.91,181.83,0,622,3,0,3,771,973.28,122.26,1218,729,445.64,59.05,564,328,DoS
8080,3896,1275,1,105990,19,88,66,74.84,4.67,23,16,19.92,1.78,27023727.96,323792.467,3.06,0.36,4,3,3896,3.06,0.25,4,3,0,0,0,0,0,0,0,25500,20,346597.9911,252.6002,18.95,90.23,74.82,4.8,22.2,0,1052,1,0,3,1275,1531.42,146.63,1825,1238,121.77,11.4,145,99,DoS
8080,2378,659,3,46504,112,95,64,75.28,11.23,47,35,40.89,2.8,20864439.25,271583.7065,3.6,0.72,5,3,2378,3.61,0.23,4,3,2378,1189,232.95,1655,956,0,0,13180,60,266300.4682,1370.336,38.81,107.22,75.52,11.17,126.21,0,521,3,0,1,659,1926.9,104.89,2137,1717,424.34,42.74,510,339,DoS
8080,3738,1941,1,143173,3,89,64,73.49,7.37,4,3,3.65,0.39,34925587.58,522176.2282,1.93,0.3,3,2,3738,1.93,0.29,3,2,0,0,0,0,0,0,0,38820,20,468177.9183,242.3302,2.89,99.57,73.55,7.73,54.55,0,1507,2,0,2,1941,1846.31,169.14,2185,1508,270.8,23.97,319,223,DoS
8080,4031,1887,1,146389,55,91,56,72.78,9.87,61,45,52.78,3.89,37075183.03,467791.9509,2.14,0.31,3,2,4031,2.14,0.12,2,2,0,0,0,0,0,0,0,37740,20,478618.8989,230.8887,38.04,105.03,72.61,9.98,100.94,0,1537,4,0,1,1887,1584.89,132.99,1851,1319,313.48,30.63,375,252,DoS
80,134,156,1,6541,50,52,41,46.04,3.18,67,40,53.31,6.9,53267330.34,1074003.336,0.86,0.16,1,1,134,0.86,0.13,1,1,0,0,0,0,0,0,0,3120,20,1182041.941,7143.523,37.99,54.3,46.03,2.87,7.97,0,109,2,0,3,156,438.62,43.19,525,352,459.67,45.17,550,369,DoS
110,3197,2451,0,175473,0,85,65,72.01,6.61,0,0,0,0,52302823.08,720642.0116,1.3,0.11,2,1,3197,1.3,0.22,2,1,0,0,0,0,0,0,0,49020,0,698952.2637,0,51.79,94.18,72.22,6.61,40.01,0,1473,2,0,2,2451,674.07,70.03,814,534,398.34,28.14,455,342,DoS
5900,468,153,1,6058,10,52,28,39.96,6.37,12,8,10.19,0.97,11903243.35,337877.6982,3.06,0.61,5,2,468,3.08,0.45,5,3,0,0,0,0,0,0,0,3060,20,325362.2396,2254.6446,9.54,57.98,40.5,6.84,47.31,0,83,0,0,1,153,1474.18,166.5,1807,1141,217.44,26.35,270,165,DoS
3389,2565,1603,4,57843,149,41,27,33.87,3.8,54,28,40.92,6.31,21195528.09,589504.9645,1.6,0.09,2,2,2565,1.6,0.17,2,1,2565,855,88.7,1032,766,0,0,32060,80,635531.3469,1671.2766,21.86,53.59,33.91,3.75,14.64,0,921,2,0,2,1603,1136.22,122.93,1382,890,30.39,2.84,36,25,DoS
3306,396,1842,5,148461,11,96,60,76.51,9.19,3,1,2.06,0.32,388809777.5,4808735.188,0.21,0.04,0,0,396,0.22,0.04,0,0,396,99,12.82,125,86,0,0,36840,100,4196681.227,12832.496,1.52,106.34,76.46,10,109.52,0,1124,1,0,3,1842,167.75,19.29,206,129,134.76,11.9,159,111,DoS
22,2042,1092,0,27479,0,35,21,27.18,4.42,0,0,0,0,12266241.09,549651.3104,1.87,0.25,2,2,2042,1.87,0.2,2,2,0,0,0,0,0,0,0,21840,0,497446.6841,0,12.79,40.6,27.05,4.48,19.97,0,652,4,0,5,1092,1134.88,168,1471,799,477.46,28.53,535,420,DoS
