Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Fwd Avg Bytes/Bulk,Bwd Avg Bytes/Bulk,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,act_data_pkt_fwd,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
21,4778214,33,24,14025,12527,485,232,393.61,57.78,829,43,560.67,175.17,5203.39,11.1738,85325.25,38577.35,202967,30085,4778214,149319.19,66538.81,363821,82780,4778214,207748.43,76814.35,406259,130934,0,3,660,480,6.3506,5.2079,298.79,1151.38,478.03,160.25,23747,0,0,0,3,21,28,422976.06,118102.64,659181,186771,1636006.95,199609.84,2035227,1236787,Normal
80,3414605,15,18,6754,11232,649,322,482.87,72.14,823,420,615.46,111.29,5166.34,8.8234,106706.41,45559.12,220320,29424,3414605,243900.36,160031.63,611361,83869,3414605,200859.12,160460.37,607395,40399,4,1,300,360,4.4001,5.4779,304.71,745.52,566.6,103.03,11736.87,2,0,0,5,18,11,222145.54,43789.94,309725,134566,1896848.29,566951.82,3030752,762945,Normal
21,3704806,20,18,14038,10843,1360,200,747.89,220.55,683,409,540.99,69.3,6572.56,11.0612,100129.89,61636.89,321383,7512,3704806,194989.79,114742.12,537499,80248,3704806,217929.76,86653.56,516443,131276,4,1,400,360,5.0416,4.9137,411.58,1597.6,693.06,234.69,49152.52,0,0,0,5,28,17,354971.96,87045.61,529063,180881,2951704.16,599963.59,4151631,1751777,Normal
25,684803,24,20,17666,8568,979,534,746.43,130.82,679,55,456.99,140.09,35198.99,60.1768,15925.65,12219.86,55965,0,684803,29774.04,18714.64,83510,11059,684803,36042.26,23968.81,86267,12073,3,1,480,400,38.1948,31.4641,194.39,999.37,646.63,199.07,40215.33,1,0,0,1,15,21,395963.5,58462.91,512889,279038,1755457.77,363143.64,2481745,1029170,Normal
21,4219058,23,32,12659,12375,691,443,533.52,55.09,833,36,391.59,150.77,5688.39,12.5894,78130.7,49711.38,252357,0,4219058,191775.36,133247.26,482576,58528,4219058,136098.65,74474.56,293621,61624,1,0,460,640,5.982,7.3939,21.86,672.01,459.85,144.16,22601.11,1,1,0,3,12,22,498654.73,105259.2,709173,288136,2537974.83,733355.81,4004686,1071263,Normal
443,2200327,21,15,9464,9756,600,219,450.87,82.25,796,540,654.2,74.62,9314.45,15.7322,62866.49,44521.6,238101,14409,2200327,110016.35,76561.36,353475,33455,2200327,157166.21,84873.37,398298,72293,2,1,420,300,10.197,7.1838,281.23,831.93,540.88,137.72,19133.08,3,1,0,4,19,16,403982.16,83322.59,570627,237337,2441032.12,274538.67,2990109,1891955,Normal
53,1635966,32,32,17186,15916,869,265,607.01,157.6,690,334,519.57,89.75,19066.88,37.7709,25967.71,9345.29,61303,11075,1635966,52773.1,33751.1,173546,19022,1635966,52773.1,28984.1,115780,23789,1,0,640,640,18.3341,18.7196,297.74,765.6,533.44,108.54,11023.09,1,1,0,4,16,26,317421.14,89288.8,495999,138844,2248475.99,277416.09,2803308,1693644,Normal
25,1997671,33,27,14083,13427,726,20,400.04,145.45,1115,0,543.89,217.18,12957.83,31.3209,33858.83,18520.47,98852,13432,1997671,62427.22,35473.68,160251,26954,1997671,76833.5,40606.51,207096,36227,4,0,660,540,16.2668,12.9425,82.58,1071.6,461.4,203.22,41112.33,1,0,0,1,21,30,141192.59,23561.17,188315,94070,1151006.73,288498.97,1728005,574009,Normal
443,1718351,31,20,8645,3914,434,200,315.23,46.29,283,126,216.26,36.03,7747.74,27.7715,34367.02,21526.58,87675,10700,1718351,57278.37,24147.76,140456,33131,1718351,90439.53,65826.25,331393,24613,0,0,620,400,18.3402,11.4562,130.88,415,275.71,74.23,4917.3,1,0,0,1,12,27,233697.56,59401.82,352501,114894,1213196.51,139551.03,1492299,934094,Normal
80,2357570,32,24,19785,20812,690,470,575.81,70.7,912,624,780.62,79.29,18219.12,24.6586,42864.91,24032.23,95097,0,2357570,76050.65,51653.31,245365,24397,2357570,102503.04,69652.66,342680,32850,0,1,640,480,12.5289,10.0207,408.14,918.41,672.48,129.57,17311.43,3,1,0,3,20,27,338909.63,69478.61,477867,199952,1520466.74,308730.14,2137927,903006,Normal
