Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Fwd Avg Bytes/Bulk,Bwd Avg Bytes/Bulk,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,act_data_pkt_fwd,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
22,29637,6,0,280,0,51,40,45.45,3.92,0,0,0.0,0.0,10269.88,219.1943,5927.4,5154.6,23392,2642,29637,5927.4,5356.96,29424,570,0,0.0,0.0,0,0,1,0,120,0,185.7425,0.0,36.74,48.42,42.32,3.61,12.44,0,3,1,0,2,3,27998.5,4893.01,37785,18212,71600.56,27978.87,127558,15643,Probe
22,42088,7,2,528,0,94,61,77.24,14.82,0,0,0.11,0.02,12851.23,198.8563,5261.0,5090.81,21029,1297,42088,7014.67,2978.41,13786,4036,42088,42088.0,26401.68,94891,15686,2,0,140,40,170.3798,51.0405,0.09,99.03,58.01,33.17,1160.89,0,1,0,2,6,4,11268.63,2191.91,15652,6885,296267.66,133995.78,564259,28276,Probe
80,14783,6,1,407,65,78,50,61.5,11.14,84,42,63.18,10.58,29952.75,473.5188,2463.83,1780.81,11348,697,14783,2956.6,2687.2,10286,269,0,0.0,0.0,0,0,0,0,120,20,395.2379,73.6533,43.76,80.32,63.28,10.6,98.98,0,2,1,1,3,4,24060.2,4032.02,32124,15996,279279.81,166196.7,611673,0,Probe
3389,48453,6,0,267,0,57,46,49.73,3.23,0,0,0.0,0.0,5773.97,130.201,9690.6,5464.1,36247,6228,48453,9690.6,8005.37,36220,1685,0,0.0,0.0,0,0,1,0,120,0,118.9296,0.0,45.11,53.91,47.87,3.06,9.79,0,2,2,2,2,5,5697.13,1335.14,8367,3027,412584.92,182301.69,777188,47982,Probe
22,10245,3,1,346,39,166,78,107.7,23.9,44,30,37.05,3.65,40584.71,394.6541,3415.0,1426.64,6800,2653,10245,5122.5,4110.79,18055,1012,0,0.0,0.0,0,0,0,0,60,20,300.0651,104.6598,41.29,146.52,111.4,41.53,1706.18,0,2,0,2,4,1,26259.44,4842.59,35945,16574,328973.08,130181.88,589337,68609,Probe
443,13303,7,1,679,37,143,62,98.81,23.32,49,26,37.54,5.61,58752.42,655.6598,1900.43,896.76,5532,1410,13303,2217.17,1054.95,5141,1162,0,0.0,0.0,0,0,1,0,140,20,497.9724,69.9078,35.17,125.42,92.17,26.94,645.44,0,4,1,3,1,5,9607.98,1556.9,12722,6494,465651.53,134887.58,735427,195876,Probe
22,26446,4,2,205,154,81,28,51.69,12.1,89,61,75.16,7.12,14279.91,233.659,5289.2,4660.31,26806,2339,26446,8815.33,4135.13,19412,4680,26446,26446.0,26027.17,78500,419,1,0,80,40,166.3226,71.2258,44.57,75.13,61.69,11.59,136.83,0,5,0,2,3,2,17491.67,6511.92,30516,4468,491418.17,288055.53,1067529,0,Probe
3389,38995,7,0,758,0,149,90,113.11,15.75,0,0,0.0,0.0,20563.76,161.6611,6499.17,6370.1,28291,1622,38995,6499.17,6030.53,20066,469,0,0.0,0.0,0,0,0,0,140,0,188.4219,0.0,79.86,120.28,104.12,15.61,252.78,0,2,0,0,1,4,21789.88,7345.18,36480,7100,226873.61,111544.53,449963,3785,Probe
53,27525,4,1,219,57,68,54,59.16,3.91,63,50,56.8,3.29,9376.05,192.5993,6881.25,4433.49,16860,4459,27525,9175.0,7797.12,26604,1378,0,0.0,0.0,0,0,0,0,80,20,150.6781,37.4414,52.46,60.15,56.14,2.72,6.89,0,4,2,0,2,2,22659.34,8799.26,40258,5061,400724.48,116090.29,632905,168544,Probe
80,36905,3,0,134,0,57,28,40.19,6.99,0,0,0.0,0.0,3391.28,79.043,18452.5,13673.05,50968,4908,36905,18452.5,15958.72,52797,2494,0,0.0,0.0,0,0,0,0,60,0,78.2512,0.0,30.6,47.8,36.89,7.74,55.7,0,5,1,1,4,1,5485.02,1727.53,8940,2030,24235.44,8703.97,41643,6828,Probe
443,16936,1,1,40,5,48,35,41.33,4.63,6,4,5.08,0.49,2577.05,123.0679,16936.0,16447.95,66695,4499,0,16936.0,15611.24,63373,1325,0,0.0,0.0,0,0,0,0,20,20,63.7319,57.8393,5.19,40.44,22.81,17.63,321.35,0,1,3,0,2,0,5658.92,660.7,6980,4338,133861.67,67318.25,268498,0,Probe
443,11751,13,0,2215,0,193,99,152.33,32.37,0,0,0.0,0.0,174277.83,1094.9601,979.25,727.34,3114,377,11751,979.25,748.94,3180,230,0,0.0,0.0,0,0,0,0,260,0,1181.5446,0.0,86.53,214.35,141.26,30.83,979.05,0,2,1,0,1,9,7852.87,1441.96,10737,4969,62713.79,33343.05,129400,0,Probe
3389,116494,7,5,1921,313,384,179,290.84,59.38,80,56,67.75,6.03,18387.12,97.2367,10590.36,8557.77,33977,3817,116494,19415.67,17728.61,93573,1687,116494,29123.5,22888.0,74900,6236,0,0,140,100,65.3057,46.5323,57.32,377.85,184.44,116.95,15011.66,0,3,1,0,3,3,28574.96,2880.62,34336,22814,264945.65,105971.05,476888,53004,Probe
21,38561,1,5,121,181,145,108,121.72,9.98,49,22,35.44,6.61,8240.56,149.053,7712.2,7597.29,26324,1108,0,38561.0,25153.34,115513,13408,38561,9640.25,5708.63,21058,3932,0,0,20,100,27.6306,136.8166,31.86,137.37,53.35,37.87,1307.39,0,1,1,3,2,0,17987.35,5209.4,28406,7569,91624.66,53053.36,197731,0,Probe
3306,125347,5,1,643,59,162,85,119.7,19.82,73,53,63.15,5.14,5100.99,50.7236,25069.4,16287.44,103516,13620,125347,31336.75,23077.53,121238,8259,0,0.0,0.0,0,0,0,0,100,20,39.3162,7.575,60.31,154.2,113.14,32.2,1137.2,0,5,2,3,3,2,25379.36,8522.55,42424,8334,460345.41,147960.25,756266,164425,Probe
3306,37118,8,7,1799,238,293,158,213.87,37.62,36,26,31.03,2.73,59929.12,396.4863,2651.29,1957.6,7072,1410,37118,5302.57,3865.06,17836,1438,37118,6186.33,3802.67,13792,2384,2,0,160,140,199.4253,193.8303,26.46,251.02,126.36,93.11,9546.2,0,1,1,1,1,4,24935.33,4511.6,33959,15912,287707.06,144374.77,576457,0,Probe
3306,136185,1,0,58,0,82,42,65.27,14.98,0,0,0.0,0.0,467.93,7.5432,136185.0,96140.81,557947,74893,0,136185.0,131082.85,406710,5102,0,0.0,0.0,0,0,0,0,20,0,6.724,0.0,82.51,82.51,82.51,0.0,0.0,0,1,0,0,1,0,11348.03,3063.91,17476,5220,271761.63,108720.09,489202,54321,Probe
3389,195312,2,3,524,214,269,210,239.24,27.57,87,53,70.05,8.61,3744.93,23.2771,48828.0,20249.3,142188,31289,195312,195312.0,93037.98,423915,102274,195312,97656.0,95820.58,289297,1835,1,0,40,60,9.7352,14.0567,60.75,263.0,139.42,93.85,9206.84,0,2,2,1,2,1,12215.84,1368.19,14952,9479,158127.06,33487.12,225101,91153,Probe
22,5268,6,1,1904,17,365,183,293.24,57.75,24,13,18.54,2.87,351470.54,1315.4237,878.0,849.38,3694,53,5268,1053.6,603.39,3643,450,0,0.0,0.0,0,0,0,0,120,20,1038.6077,185.0419,16.63,386.73,256.86,108.03,11201.44,0,3,1,2,2,4,24444.89,3344.59,31134,17756,369477.34,184484.04,738445,509,Probe
5900,83064,1,3,141,179,209,109,142.47,27.74,71,58,64.07,3.21,3840.72,49.6741,27688.0,15458.07,102423,17035,0,83064.0,48211.54,259706,34852,83064,41532.0,20126.14,81784,21406,1,0,20,60,12.9447,38.9792,62.54,187.96,94.97,53.7,2568.9,0,5,1,0,1,0,16910.54,3404.1,23719,10102,459021.68,125200.97,709424,208620,Probe
80,158329,12,0,2075,0,187,138,157.05,18.05,0,0,0.0,0.0,13362.19,75.7252,14393.55,8857.89,42593,8400,158329,14393.55,14172.04,56928,222,0,0.0,0.0,0,0,2,0,240,0,71.2164,0.0,129.49,179.64,155.62,16.49,273.8,0,4,3,0,1,6,25002.04,7247.67,39497,10507,101882.05,47766.94,197416,6348,Probe
8080,13325,9,1,1562,19,233,133,187.51,34.6,22,13,17.67,2.28,119405.96,739.7871,1480.56,857.52,3598,1033,13325,1665.62,1611.77,6610,54,0,0.0,0.0,0,0,0,0,180,20,615.561,78.4651,20.2,226.42,160.1,52.86,2876.93,0,3,2,1,2,5,16168.86,3569.59,23308,9030,384892.2,166618.55,718129,51655,Probe
